nome,cpf,idade,data,endereco,estado,pais
Laís da Luz,263.079.514-43,53,29/04/1971,"Via da Cruz, 44
Minas Caixa
90920-079 Gomes do Amparo / DF","('GO', 'Goiás')",Brasil
Sophie Barros,457.163.280-08,42,02/01/1982,"Parque Miguel Martins, 10
Conjunto Califórnia Ii
41911-071 Araújo / MS","('PE', 'Pernambuco')",Brasil
Mariane Costela,542.169.807-67,43,21/02/1981,"Viaduto de Moraes, 29
São Vicente
12104-314 Araújo / MS","('AP', 'Amapá')",Brasil
Ravi das Neves,465.209.371-34,34,02/04/1990,"Esplanada Agatha Rezende, 80
Pindura Saia
23122-351 Caldeira dos Dourados / ES","('TO', 'Tocantins')",Brasil
Dr. Luiz Fernando Rocha,096.584.317-39,43,15/09/1981,"Praia de Rocha, 2
Serra
89005564 Souza de Nunes / SP","('AM', 'Amazonas')",Brasil
Clarice Monteiro,473.618.950-93,47,01/10/1977,"Condomínio Pereira, 658
Conjunto Minas Caixa
78799196 Costa da Mata / CE","('RO', 'Rondônia')",Brasil
Sr. André Pacheco,207.893.461-50,50,18/08/1974,"Vale Davi Fernandes
Havaí
81021-330 Marques / PA","('RR', 'Roraima')",Brasil
Maya Moreira,380.956.471-01,42,28/05/1982,"Esplanada de Azevedo, 7
Pindorama
52247986 Cavalcanti / RJ","('TO', 'Tocantins')",Brasil
Igor Mendes,258.694.103-98,58,07/06/1966,"Campo Fonseca, 52
Paquetá
67339-929 da Mota da Praia / BA","('CE', 'Ceará')",Brasil
Alexandre Cardoso,027.681.354-53,49,15/04/1975,"Fazenda Casa Grande
Vila Ouro Minas
20420149 Campos do Galho / SC","('RN', 'Rio Grande do Norte')",Brasil
Hellena Abreu,967.805.412-49,52,12/01/1972,"Trecho Ana Júlia Nunes, 70
Unidas
54527748 Silva / BA","('DF', 'Distrito Federal')",Brasil
Henry Martins,376.291.850-30,36,09/09/1988,"Lagoa de Pimenta, 30
Vila São Geraldo
66198-528 Nunes dos Dourados / RO","('GO', 'Goiás')",Brasil
Theo Silva,458.136.902-98,18,21/01/2006,"Colônia de Rodrigues, 46
Vila Maloca
78697-181 Dias / GO","('TO', 'Tocantins')",Brasil
Milena Siqueira,208.647.953-00,22,20/12/2001,"Estação de Campos, 6
Milionario
19158655 Macedo de Costa / SE","('PR', 'Paraná')",Brasil
Fernando da Luz,127.064.938-87,34,12/03/1990,"Loteamento de Pires, 30
Primeiro De Maio
93926-752 Ramos / RN","('SP', 'São Paulo')",Brasil
Evelyn Marques,018.542.769-30,25,16/01/1999,"Lagoa Santos, 66
Biquinhas
85332-250 Cunha dos Dourados / RO","('RN', 'Rio Grande do Norte')",Brasil
Ana Vitória Macedo,075.421.398-60,59,13/07/1965,"Favela Bento Ramos, 55
Esperança
76521658 Silveira do Amparo / ES","('AC', 'Acre')",Brasil
Lucca da Cunha,320.489.561-06,43,21/07/1981,"Parque de Pinto, 75
Betânia
14710-512 Fogaça da Praia / SP","('AL', 'Alagoas')",Brasil
Dr. Leonardo Peixoto,647.593.028-83,51,22/04/1973,"Rua Ana Liz Santos, 1
Taquaril
94525374 da Mota / PE","('PA', 'Pará')",Brasil
Srta. Júlia Leão,451.632.809-70,23,28/07/2001,"Vila Yasmin da Cunha, 90
Garças
86508931 Duarte das Pedras / PR","('DF', 'Distrito Federal')",Brasil
Srta. Mariane Sousa,391.760.852-95,46,25/02/1978,"Praia de Ramos, 83
Maria Goretti
31490547 Camargo da Praia / MA","('CE', 'Ceará')",Brasil
Dr. Danilo da Conceição,185.036.794-93,56,21/04/1968,"Rodovia Ana Vitória Vieira, 4
Vila Da Paz
05956692 Nunes / RR","('CE', 'Ceará')",Brasil
Cauê Lima,938.247.160-03,43,29/04/1981,"Ladeira Novaes, 73
Vila Trinta E Um De Março
28319225 Ramos / RN","('ES', 'Espírito Santo')",Brasil
Davi Lucca Abreu,098.764.251-02,36,09/03/1988,"Condomínio Bianca Araújo, 282
Garças
57094-016 Aragão / MT","('PA', 'Pará')",Brasil
Manuela Novaes,705.862.314-71,41,20/11/1982,"Recanto Garcia, 7
Milionario
42228920 Vargas / PA","('ES', 'Espírito Santo')",Brasil
Nina Fogaça,834.756.209-10,37,27/12/1986,"Vereda João Guilherme Fonseca, 92
Conjunto Paulo Vi
97421701 Souza / RR","('MG', 'Minas Gerais')",Brasil
Ester Albuquerque,270.985.136-95,26,11/10/1998,"Vila Yan Novais, 6
Pindorama
85020216 Melo Paulista / AM","('MS', 'Mato Grosso do Sul')",Brasil
Dra. Valentina Vieira,504.873.291-04,33,20/03/1991,"Campo de Cavalcanti, 2
Estoril
88624-990 das Neves das Pedras / CE","('PA', 'Pará')",Brasil
Isis Aragão,851.347.920-97,20,17/05/2004,"Jardim de Rios, 9
Jardinópolis
60308916 Silva das Flores / AM","('TO', 'Tocantins')",Brasil
Yago Casa Grande,401.576.382-35,25,26/01/1999,"Via Silva, 7
Flavio De Oliveira
75827157 Pastor Alegre / CE","('PB', 'Paraíba')",Brasil
Renan Cardoso,928.617.534-55,48,08/07/1976,"Esplanada Yago Câmara, 39
Alpes
46938856 Leão / PI","('BA', 'Bahia')",Brasil
Fernanda Cavalcante,739.058.416-57,36,21/12/1987,"Avenida de Moreira, 23
Cinquentenário
67893-501 Duarte das Flores / PR","('RR', 'Roraima')",Brasil
Josué Costela,248.075.361-17,26,18/09/1998,"Aeroporto de Garcia
Conjunto São Francisco De Assis
76810048 Peixoto de Ferreira / RJ","('TO', 'Tocantins')",Brasil
Leandro Montenegro,028.793.645-74,43,20/08/1981,"Pátio da Cunha, 11
Jatobá
03450526 Abreu / MA","('MA', 'Maranhão')",Brasil
Larissa Costela,358.469.701-84,19,14/03/2005,"Praça de Rodrigues, 81
Vila Real 2ª Seção
67931-313 Machado / RN","('ES', 'Espírito Santo')",Brasil
Léo Silva,704.382.196-78,57,05/01/1967,"Praia Novais, 55
Nova Cachoeirinha
24332-868 Rios Grande / ES","('RN', 'Rio Grande do Norte')",Brasil
Gustavo Henrique Gomes,578.960.423-47,26,12/02/1998,"Loteamento de Costa
Milionario
94884-023 Correia / BA","('AL', 'Alagoas')",Brasil
Otávio Nascimento,627.315.489-91,32,17/09/1992,"Conjunto Pastor, 8
Santa Helena
75863748 da Rosa / RJ","('AM', 'Amazonas')",Brasil
João Felipe da Cunha,320.768.145-07,31,10/03/1993,"Vila Yuri Nascimento
Monsenhor Messias
32008014 Porto / MT","('RJ', 'Rio de Janeiro')",Brasil
Srta. Luiza Fonseca,978.213.465-19,21,20/12/2002,"Residencial Eduarda Marques, 41
Universo
67837472 Sampaio / CE","('SC', 'Santa Catarina')",Brasil
Gabrielly Borges,978.234.015-41,35,15/02/1989,"Alameda Cassiano, 16
São Cristóvão
91039023 da Rocha / AL","('DF', 'Distrito Federal')",Brasil
Olivia Moreira,289.450.613-98,27,15/02/1997,"Morro de Marques, 19
Bairro Das Indústrias Ii
98264667 Barbosa / PI","('PA', 'Pará')",Brasil
Ana Sophia Almeida,476.238.509-38,44,01/04/1980,"Fazenda Abreu, 66
Cidade Nova
74878-000 Ramos / SP","('MS', 'Mato Grosso do Sul')",Brasil
Ana Liz Peixoto,160.729.384-69,21,05/06/2003,"Praia Leandro da Mata, 62
Independência
76432783 Borges / SE","('RR', 'Roraima')",Brasil
Maria Cecília Porto,781.943.206-31,31,25/11/1992,"Área Montenegro, 65
Olhos D'água
76020-394 Correia das Flores / RR","('AC', 'Acre')",Brasil
Dra. Ana Beatriz Fogaça,539.462.187-09,22,24/12/2001,"Viaduto Elisa Gonçalves
Conjunto Bonsucesso
80849-924 Lopes Paulista / AM","('MG', 'Minas Gerais')",Brasil
Anthony da Cunha,076.321.598-86,46,14/06/1978,"Estação Lima, 23
Lajedo
59586012 Farias / PA","('ES', 'Espírito Santo')",Brasil
Maitê Santos,562.871.340-62,55,16/05/1969,"Sítio da Conceição, 41
São Francisco Das Chagas
12532-584 Fogaça dos Dourados / AP","('MT', 'Mato Grosso')",Brasil
Nicole Correia,730.694.521-16,18,30/04/2006,"Ladeira Silva, 2
Itaipu
18251513 Nunes de Goiás / GO","('ES', 'Espírito Santo')",Brasil
Joana da Paz,819.357.624-19,58,24/10/1966,"Área Costela, 59
Vila Jardim Alvorada
16806-677 da Cruz / RS","('TO', 'Tocantins')",Brasil
Kaique Rocha,180.963.572-12,51,26/09/1973,"Colônia de Lima, 25
Fazendinha
13628743 Mendes da Serra / AC","('GO', 'Goiás')",Brasil
Ester Fernandes,015.743.698-57,41,27/06/1983,"Condomínio de Costa, 70
Lagoa
74473738 Vasconcelos / SE","('RR', 'Roraima')",Brasil
Arthur Miguel Nogueira,739.064.528-83,38,04/07/1986,"Pátio da Cunha, 13
Vila Da Ária
31931540 Camargo / MS","('PB', 'Paraíba')",Brasil
Sr. Josué Cassiano,457.321.860-26,47,03/12/1976,"Favela Maria Fernanda Garcia, 76
Santa Cruz
61549177 Cirino de Goiás / SP","('CE', 'Ceará')",Brasil
Alana Souza,426.709.185-49,35,07/06/1989,"Vale de Rocha, 63
Conjunto Bonsucesso
58619-632 Sampaio Verde / SP","('MT', 'Mato Grosso')",Brasil
Luara da Rosa,658.123.974-73,33,06/08/1991,"Avenida Benjamin Jesus, 9
Bonfim
64600-006 Pinto / AM","('PE', 'Pernambuco')",Brasil
João Guilherme Rocha,286.451.093-60,43,23/10/1981,"Rodovia Câmara
Nossa Senhora Aparecida
26410-217 Campos / PB","('PB', 'Paraíba')",Brasil
Bella Albuquerque,028.147.365-07,18,29/06/2006,"Alameda de Silva, 41
Vista Alegre
30402355 Borges do Sul / BA","('MT', 'Mato Grosso')",Brasil
Sra. Gabrielly Sousa,193.026.758-40,46,13/03/1978,"Praia Ana Clara Costa, 20
Vila Piratininga Venda Nova
40703-558 Monteiro / PI","('RJ', 'Rio de Janeiro')",Brasil
Clarice Aragão,231.987.064-40,30,04/11/1994,"Favela de Rios, 2
Vila Jardim Montanhes
82047298 Barbosa / TO","('MS', 'Mato Grosso do Sul')",Brasil
Samuel Viana,279.436.501-07,22,02/12/2001,"Rua Leandro Vieira, 95
Marajó
96149596 Alves de Vargas / DF","('SE', 'Sergipe')",Brasil
Carlos Eduardo da Mata,579.280.314-50,52,19/05/1972,"Área de Pastor, 8
Vila Santo Antônio Barroquinha
66180392 Fernandes das Flores / SE","('BA', 'Bahia')",Brasil
Dr. Ravi Lucca Mendonça,917.650.832-30,46,27/11/1977,"Aeroporto Câmara, 95
Santa Efigênia
98649951 Aparecida de Viana / SE","('MA', 'Maranhão')",Brasil
Brenda Abreu,174.938.056-01,35,12/02/1989,"Sítio de Leão, 56
Vila Paraíso
87107028 Martins / RO","('BA', 'Bahia')",Brasil
Alexia Martins,198.763.420-96,21,06/06/2003,"Trecho Pimenta, 41
Vila Piratininga Venda Nova
45868430 Jesus / RN","('TO', 'Tocantins')",Brasil
Bernardo Sales,736.918.420-03,52,11/03/1972,"Condomínio Camargo, 73
São Geraldo
44835-005 Barros das Flores / CE","('PB', 'Paraíba')",Brasil
Sr. Vitor Gabriel Correia,081.694.735-00,52,10/08/1972,"Alameda Gonçalves, 17
Custodinha
30192-863 da Costa do Amparo / BA","('PA', 'Pará')",Brasil
Srta. Alexia Garcia,918.360.475-84,24,19/03/2000,"Estrada de Oliveira, 66
Satelite
13380-932 Pastor de Almeida / PR","('CE', 'Ceará')",Brasil
Maria Liz Moura,173.602.895-21,60,05/04/1964,"Estação Diogo Vieira, 2
Funcionários
73654-305 Oliveira Grande / TO","('DF', 'Distrito Federal')",Brasil
Davi Gomes,567.820.943-47,18,01/01/2006,"Área Monteiro, 6
Floresta
53923009 Alves / RN","('RN', 'Rio Grande do Norte')",Brasil
Lucas Silva,362.817.094-03,44,29/09/1980,"Travessa de Cassiano, 44
Granja De Freitas
96614-599 Fonseca do Oeste / PA","('CE', 'Ceará')",Brasil
Milena da Cunha,286.714.059-58,51,22/09/1973,"Esplanada Gomes, 75
Mangabeiras
44686-146 Sá / PR","('RJ', 'Rio de Janeiro')",Brasil
Laura Fogaça,365.892.174-91,58,07/04/1966,"Trevo de Teixeira, 798
Flavio De Oliveira
85721-703 Machado / TO","('RO', 'Rondônia')",Brasil
Yasmin Monteiro,082.691.457-85,49,09/02/1975,"Sítio Lucca Caldeira, 49
Mangabeiras
73203978 Vasconcelos de Alves / MS","('MS', 'Mato Grosso do Sul')",Brasil
Bruno Macedo,957.263.814-91,28,11/11/1996,"Trevo Cauã Sousa, 14
Vila Dos Anjos
42293-890 Martins / RO","('PE', 'Pernambuco')",Brasil
Dra. Ana Vitória Câmara,601.527.483-26,49,16/03/1975,"Conjunto Julia Almeida, 3
Minas Brasil
47518-651 Rocha / PA","('RN', 'Rio Grande do Norte')",Brasil
Davi Lucas Barros,502.917.368-40,41,31/07/1983,"Trecho Bruno Montenegro
Ribeiro De Abreu
52609-525 da Luz / RN","('SP', 'São Paulo')",Brasil
Sra. Luara Jesus,847.921.065-67,48,01/10/1976,"Chácara de Rodrigues, 913
Santa Cecilia
03501356 Gonçalves / PA","('PB', 'Paraíba')",Brasil
Luiz Otávio Oliveira,815.693.027-40,45,06/09/1979,"Estrada Vasconcelos, 81
Vila São Rafael
06979-918 Melo da Praia / RN","('PR', 'Paraná')",Brasil
Léo Melo,042.637.158-53,55,28/10/1969,"Vila Eloá Cardoso, 57
Vila Nova Cachoeirinha 2ª Seção
38661-484 Martins / PI","('MS', 'Mato Grosso do Sul')",Brasil
Theodoro Azevedo,016.594.237-16,45,04/05/1979,"Esplanada Fonseca, 63
Vera Cruz
38316901 Martins / AL","('BA', 'Bahia')",Brasil
Emanuella Costa,148.296.735-91,44,08/12/1979,"Condomínio da Paz, 9
Betânia
62541461 Andrade / SP","('ES', 'Espírito Santo')",Brasil
Catarina Sales,354.627.901-80,58,22/07/1966,"Rua Anthony Câmara, 428
Vila São João Batista
57517-965 Santos do Amparo / MT","('RS', 'Rio Grande do Sul')",Brasil
Paulo Moura,564.083.129-42,35,17/05/1989,"Condomínio Sales, 37
Vila Bandeirantes
59009599 da Conceição / SC","('BA', 'Bahia')",Brasil
Cauã Fonseca,273.084.615-80,36,16/12/1987,"Sítio de Ramos, 438
Conjunto Taquaril
23904506 Vargas / ES","('RO', 'Rondônia')",Brasil
Valentim Barros,569.180.427-85,55,10/02/1969,"Estação Oliveira
Bonsucesso
29575-881 Ribeiro de Cassiano / CE","('AL', 'Alagoas')",Brasil
Isabelly Jesus,028.941.735-04,59,08/09/1965,"Recanto Barbosa, 17
Pindorama
41859018 Sales / SP","('RO', 'Rondônia')",Brasil
Srta. Emanuella Ribeiro,097.658.321-68,56,09/11/1968,"Campo de da Costa, 667
Alta Tensão 2ª Seção
77991-467 Moraes de Alves / PB","('SE', 'Sergipe')",Brasil
Enrico Câmara,268.517.430-35,20,26/01/2004,"Largo Almeida, 49
Marieta 2ª Seção
92428917 Casa Grande / PI","('SP', 'São Paulo')",Brasil
Leonardo Ribeiro,973.526.048-47,34,19/07/1990,"Loteamento de Câmara, 18
Alta Tensão 2ª Seção
59501-556 Brito Verde / RS","('PR', 'Paraná')",Brasil
Lunna Silva,591.207.684-94,41,19/06/1983,"Morro de Leão, 34
Novo Santa Cecilia
40686-767 da Cunha do Amparo / RO","('PE', 'Pernambuco')",Brasil
Mariana Moreira,208.639.547-74,20,23/04/2004,"Estrada da Rocha, 288
Copacabana
28405-847 Barbosa do Sul / RS","('CE', 'Ceará')",Brasil
Dra. Rafaela Cavalcante,096.158.342-89,31,26/10/1993,"Recanto Brito, 98
Palmeiras
24184681 Rocha das Pedras / AL","('RO', 'Rondônia')",Brasil
Liz Porto,021.368.954-51,25,13/03/1999,"Vereda de Machado
Lajedo
94453-022 Azevedo Paulista / RJ","('RR', 'Roraima')",Brasil
Ana Liz Araújo,043.782.916-22,48,13/11/1976,"Feira Matteo Moura, 63
Gameleira
87417256 Cavalcanti / MG","('PA', 'Pará')",Brasil
José Miguel das Neves,217.540.986-49,27,12/02/1997,"Recanto Pietro Albuquerque, 42
Serrano
72101-232 Caldeira da Praia / RO","('SP', 'São Paulo')",Brasil
Brenda Martins,963.128.450-60,49,20/01/1975,"Alameda de Lopes, 66
Liberdade
01552-691 Novais de Araújo / ES","('BA', 'Bahia')",Brasil
João Pedro Correia,809.241.567-67,30,08/10/1994,"Estação de Araújo, 385
Vila Coqueiral
75882754 Pinto de Cirino / ES","('MS', 'Mato Grosso do Sul')",Brasil
Liz Vieira,614.723.850-71,35,07/12/1988,"Alameda Guerra
Satelite
43579195 Novaes / SC","('CE', 'Ceará')",Brasil
Sr. Emanuel Guerra,147.269.035-43,57,06/04/1967,"Trevo Macedo
Vila Vista Alegre
85852-013 Rocha / MS","('AC', 'Acre')",Brasil
Léo das Neves,069.154.832-33,19,25/05/2005,"Sítio Luan Monteiro, 4
Cenaculo
27543071 Marques do Amparo / AL","('MG', 'Minas Gerais')",Brasil
Ana Cavalcanti,870.296.345-00,30,23/01/1994,"Área de Câmara, 189
Calafate
79085-990 Duarte / AM","('AL', 'Alagoas')",Brasil
Calebe Jesus,407.826.531-62,27,17/10/1997,"Pátio de da Luz, 10
Tupi B
46551623 Siqueira de Goiás / AC","('BA', 'Bahia')",Brasil
Elisa Santos,534.971.826-64,25,19/07/1999,"Jardim de Silveira, 95
Vila Independencia 1ª Seção
63491788 Freitas / AP","('TO', 'Tocantins')",Brasil
Alexia Rocha,315.798.420-97,35,24/03/1989,"Sítio de Silveira, 4
Maravilha
87787316 Nascimento da Serra / TO","('PI', 'Piauí')",Brasil
João Pedro Cavalcante,736.094.518-66,30,18/04/1994,"Largo Bernardo Mendes, 41
Nova Granada
18495471 Rocha do Galho / ES","('SC', 'Santa Catarina')",Brasil
Sofia da Paz,627.103.459-43,27,05/10/1997,"Chácara Vicente Cunha
Vila Trinta E Um De Março
47450-421 Leão / PR","('SE', 'Sergipe')",Brasil
Yan Farias,709.231.456-99,40,22/04/1984,"Largo de da Conceição, 4
Bandeirantes
87550-523 Caldeira / AL","('TO', 'Tocantins')",Brasil
Oliver Ribeiro,127.453.689-82,43,10/07/1981,"Pátio Oliver Câmara, 14
Vila Independencia 3ª Seção
28441-401 Macedo / SP","('DF', 'Distrito Federal')",Brasil
Diego Duarte,749.063.218-87,52,22/09/1972,"Favela Catarina Alves, 8
Vila Satélite
25852-559 Rezende das Pedras / RR","('RJ', 'Rio de Janeiro')",Brasil
Alícia Aragão,964.571.280-76,39,17/02/1985,"Quadra de Melo, 66
Vila Madre Gertrudes 3ª Seção
33066-606 Viana Alegre / RJ","('PA', 'Pará')",Brasil
Enzo Casa Grande,273.685.901-40,44,13/07/1980,"Trecho Theo Cassiano, 8
Capitão Eduardo
04045-425 Lopes / PR","('PA', 'Pará')",Brasil
Ester Moraes,629.854.301-51,34,19/02/1990,"Conjunto Ana Beatriz Azevedo
Novo Tupi
34200763 das Neves / MG","('PR', 'Paraná')",Brasil
Srta. Lívia Leão,021.785.963-12,57,08/05/1967,"Sítio Nogueira, 8
Xangri-Lá
79031587 Cavalcante das Pedras / AL","('SC', 'Santa Catarina')",Brasil
Maria Clara Pinto,319.280.654-06,42,24/12/1981,"Viela de Lima, 91
Baleia
76412611 da Conceição de Goiás / GO","('ES', 'Espírito Santo')",Brasil
Arthur Miguel Câmara,762.390.815-40,39,06/08/1985,"Sítio Araújo, 15
Alta Tensão 1ª Seção
83238532 Vieira de Pires / RJ","('SC', 'Santa Catarina')",Brasil
Arthur Miguel Campos,812.364.079-03,30,25/06/1994,"Rua Bernardo Araújo, 72
Santa Rita De Cássia
37873-780 Câmara dos Dourados / AL","('RN', 'Rio Grande do Norte')",Brasil
Maria Julia Lima,120.347.856-90,29,18/07/1995,"Sítio de Mendonça, 4
Capitão Eduardo
50394057 Azevedo Alegre / PI","('MG', 'Minas Gerais')",Brasil
Cecília Brito,279.480.365-47,42,22/01/1982,"Colônia Allana Santos, 6
Cinquentenário
49876369 da Luz / RO","('BA', 'Bahia')",Brasil
Eloah das Neves,628.451.703-35,26,30/01/1998,"Residencial de Alves, 3
Prado
46588-247 da Rocha / AM","('SP', 'São Paulo')",Brasil
Gabriela Vargas,645.780.392-00,29,17/01/1995,"Núcleo Cecília Aparecida
Mineirão
51809906 Campos / ES","('MG', 'Minas Gerais')",Brasil
Valentina Costa,842.653.170-90,29,03/03/1995,"Fazenda Vieira, 15
Penha
61836043 Mendes de da Conceição / TO","('MS', 'Mato Grosso do Sul')",Brasil
Ian Albuquerque,480.932.617-96,22,11/01/2002,"Esplanada Castro, 87
Manacas
52495-248 Novaes / AC","('BA', 'Bahia')",Brasil
Sr. Erick Ribeiro,961.305.748-00,51,31/03/1973,"Jardim Ramos, 62
Oeste
64229720 Mendonça do Campo / RN","('PE', 'Pernambuco')",Brasil
Alexandre da Paz,086.932.745-38,41,29/08/1983,"Vila Albuquerque, 55
Renascença
04079-563 Nunes das Flores / RS","('SP', 'São Paulo')",Brasil
Caleb Duarte,893.071.624-50,54,05/08/1970,"Sítio Anthony Gabriel da Paz, 63
Paulo Vi
21803-806 Gomes do Sul / SP","('PI', 'Piauí')",Brasil
Emanuel Fonseca,639.412.570-99,34,17/05/1990,"Quadra Diogo Brito, 44
Taquaril
66341-328 Rios / RJ","('TO', 'Tocantins')",Brasil
Miguel Marques,179.860.534-10,46,18/12/1977,"Conjunto de Pereira, 8
Vila Independencia 1ª Seção
49169100 Marques do Norte / TO","('RO', 'Rondônia')",Brasil
Giovanna Casa Grande,716.802.593-77,36,02/04/1988,"Vila de Abreu, 40
Floramar
15446195 Camargo / PI","('SC', 'Santa Catarina')",Brasil
Luan Novais,830.719.542-04,35,31/05/1989,"Vila Joaquim Pinto, 212
Centro
34673-418 Rios / SE","('RS', 'Rio Grande do Sul')",Brasil
Luana Silva,485.209.167-67,22,20/07/2002,"Rodovia Leão, 95
Lourdes
62260463 Oliveira / ES","('RS', 'Rio Grande do Sul')",Brasil
Paulo Moura,157.924.368-19,57,18/08/1967,"Passarela Luiz Miguel Rocha, 795
Belmonte
65363-846 Araújo do Amparo / PA","('SE', 'Sergipe')",Brasil
Letícia Machado,290.741.568-94,28,17/07/1996,"Fazenda de Siqueira, 86
Buritis
11671280 Rodrigues / SP","('PR', 'Paraná')",Brasil
Dra. Ana Sophia Nogueira,139.407.586-39,41,02/08/1983,"Trecho de Ramos
Pongelupe
95283457 Cardoso / AP","('AC', 'Acre')",Brasil
Nina Montenegro,381.065.729-86,49,16/01/1975,"Sítio Souza, 98
Marieta 3ª Seção
00714005 Carvalho de Goiás / MT","('TO', 'Tocantins')",Brasil
Sra. Joana Montenegro,938.506.271-95,25,10/10/1999,"Núcleo Caio Teixeira, 5
Nova Esperança
49814077 Sousa / SC","('RR', 'Roraima')",Brasil
Dra. Marcela Pereira,074.859.163-00,24,22/12/1999,"Ladeira Vieira, 86
Colégio Batista
87774236 Melo Paulista / AC","('PB', 'Paraíba')",Brasil
Zoe Vargas,807.429.635-00,18,04/08/2006,"Passarela Albuquerque, 49
Vila Das Oliveiras
14522-415 Pereira / RO","('RS', 'Rio Grande do Sul')",Brasil
Emanuel Aragão,653.249.017-25,55,18/06/1969,"Distrito da Luz, 850
Vila Independencia 3ª Seção
68929-355 da Mata / PI","('TO', 'Tocantins')",Brasil
